                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7352,                 5.5711,                 2.3361,                0.01328,                0.54174,                0.03944,                0.01162,                 2.8649,                  3.366,                 1.6525,             0.00055547,             0.00055547,             0.00055547
                      2,                 3.0107,                 3.1821,                 1.6774,                0.27415,                0.15816,                0.12533,                0.04448,                  2.631,                 2.5648,                 1.4511,              0.0010891,              0.0010891,              0.0010891
                      3,                 2.7531,                 2.7705,                 1.5259,                0.32133,                0.18425,                0.16025,                0.06205,                 2.4809,                 2.3517,                 1.3539,              0.0016008,              0.0016008,              0.0016008
                      4,                 2.6064,                 2.5977,                 1.4548,                0.36264,                0.25881,                0.23132,                0.09472,                 2.3423,                 2.1511,                 1.3051,               0.001568,               0.001568,               0.001568
                      5,                 2.5138,                 2.4182,                 1.3881,                0.40423,                0.27662,                0.26217,                 0.1168,                 2.2041,                 2.0719,                 1.2432,               0.001568,               0.001568,               0.001568
                      6,                  2.402,                 2.2664,                 1.3361,                0.36566,                0.25974,                0.23154,                0.10534,                 2.1664,                 2.2796,                 1.2326,               0.001535,               0.001535,               0.001535
                      7,                 2.3547,                 2.1904,                 1.3061,                0.48408,                0.30844,                0.32131,                0.15206,                 2.0992,                  1.872,                 1.1824,               0.001502,               0.001502,               0.001502
                      8,                 2.2819,                 2.0998,                 1.2945,                0.50523,                0.28571,                0.30433,                0.14317,                 2.0557,                 1.9023,                 1.1859,               0.001469,               0.001469,               0.001469
                      9,                 2.2213,                 1.9898,                 1.2639,                0.54439,                0.30937,                0.35198,                0.17335,                 1.9538,                 1.7535,                 1.1358,               0.001436,               0.001436,               0.001436
                     10,                 2.2017,                  1.984,                 1.2514,                0.57636,                0.33627,                0.38099,                0.18501,                 1.8905,                 1.9797,                 1.1106,              0.0014029,              0.0014029,              0.0014029
                     11,                 2.1725,                 1.9621,                 1.2334,                0.58681,                0.32839,                0.38319,                0.19331,                 1.8925,                 1.8418,                 1.1172,              0.0013699,              0.0013699,              0.0013699
                     12,                 2.1414,                 1.9329,                 1.2383,                0.60233,                0.30612,                0.37222,                0.18719,                  1.852,                 1.7047,                 1.1078,              0.0013369,              0.0013369,              0.0013369
                     13,                 2.1202,                 1.8713,                 1.2264,                0.61381,                0.33071,                0.39323,                0.20039,                 1.8485,                 1.7864,                 1.0932,              0.0013039,              0.0013039,              0.0013039
                     14,                  2.096,                 1.8623,                 1.2225,                0.58806,                0.34184,                0.39427,                0.20296,                 1.8234,                 1.6108,                 1.1009,              0.0012709,              0.0012709,              0.0012709
                     15,                 2.0702,                 1.8125,                 1.1937,                0.64407,                0.34495,                0.40833,                0.20684,                 1.8566,                 1.6996,                 1.1021,              0.0012379,              0.0012379,              0.0012379
                     16,                 2.0539,                  1.781,                 1.2033,                0.61492,                0.35019,                0.41641,                 0.2141,                 1.8244,                 1.6176,                 1.1035,              0.0012049,              0.0012049,              0.0012049
                     17,                 2.0507,                 1.7809,                 1.1945,                0.64408,                0.33952,                0.41977,                0.21619,                 1.7733,                 1.6263,                 1.0718,              0.0011719,              0.0011719,              0.0011719
                     18,                 2.0181,                 1.7512,                 1.1912,                0.66748,                0.35853,                0.43478,                0.22639,                 1.7355,                 1.5677,                 1.0764,              0.0011389,              0.0011389,              0.0011389
                     19,                  2.017,                 1.7642,                 1.1824,                0.65053,                0.35993,                0.43237,                0.22251,                 1.7808,                  1.508,                 1.0913,              0.0011059,              0.0011059,              0.0011059
                     20,                 2.0061,                 1.7331,                 1.1732,                0.64342,                0.36503,                0.44213,                0.23167,                 1.7538,                 1.5247,                 1.0658,              0.0010729,              0.0010729,              0.0010729
